Incident ID,Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,County,FIPS,Population_per_state_2023,Population_per_county_2023
271363,2014-12-29,Louisiana,New Orleans,0,4,0,0,0,ORLEANS,22071,4573749,364136.0
269679,2014-12-27,California,Los Angeles,1,3,0,0,0,LOS ANGELES,06037,38965193,9663345.0
270036,2014-12-27,California,Sacramento,0,4,0,0,0,SACRAMENTO,06067,38965193,1584288.0
269167,2014-12-26,Illinois,East St. Louis,1,3,0,0,0,St. Clair,17163,12549689,251018.0
268598,2014-12-24,Missouri,Saint Louis,1,3,0,0,0,SAINT LOUIS CITY,29510,6196156,281754.0
267792,2014-12-23,Kentucky,Winchester,1,3,0,0,2,CLARK,21049,4526154,37304.0
268282,2014-12-22,Michigan,Detroit,1,3,0,0,0,WAYNE,26163,10037261,1751169.0
282186,2014-12-22,New York,Webster,3,2,1,0,0,MONROE,36055,19571216,748482.0
267721,2014-12-22,Illinois,Chicago,0,5,0,0,0,COOK,17031,12549689,5087072.0
266570,2014-12-21,Florida,Sarasota,2,2,0,0,0,SARASOTA,12115,22610726,469013.0
268910,2014-12-21,Mississippi,Waynesboro,1,4,0,0,2,WAYNE,28153,2939690,19703.0
266424,2014-12-21,Illinois,Calumet City,1,8,0,0,0,COOK,17031,12549689,5087072.0
266407,2014-12-20,Illinois,Rockford,4,0,0,0,1,WINNEBAGO,17201,12549689,280922.0
264901,2014-12-16,New Jersey,Elizabeth,0,4,0,0,0,UNION,34039,9290841,572726.0
263556,2014-12-15,Pennsylvania,Lansdale,6,0,1,0,0,MONTGOMERY,42091,12961683,868742.0
263376,2014-12-14,Florida,Miami,1,4,0,0,0,MIAMI-DADE,12086,22610726,2686867.0
263382,2014-12-13,Florida,Tampa,0,5,0,0,0,HILLSBOROUGH,12057,22610726,1535564.0
262202,2014-12-12,Oregon,Portland,0,4,0,0,3,MULTNOMAH,41051,4233358,789698.0
259935,2014-12-07,Indiana,South Bend,0,4,0,0,0,ST JOSEPH,18141,6862199,272848.0
227011,2014-12-02,Missouri,Saint Louis,1,3,0,2,0,SAINT LOUIS CITY,29510,6196156,281754.0
226983,2014-12-02,Virginia,Newport News,0,5,0,0,0,NEWPORT NEWS CITY,51700,8715698,183118.0
226534,2014-11-30,Tennessee,Chattanooga,0,5,0,0,0,HAMILTON,47065,7126489,379864.0
226388,2014-11-30,New York,Brooklyn,0,4,0,0,0,KINGS,36047,19571216,2561225.0
226150,2014-11-29,New Jersey,Newark,1,3,0,0,0,ESSEX,34013,9290841,851117.0
225903,2014-11-29,Georgia,Atlanta,3,2,0,0,0,FULTON,13121,11029227,1079105.0
225830,2014-11-28,Tennessee,Memphis,0,4,0,0,0,SHELBY,47157,7126489,910042.0
226018,2014-11-27,Texas,Georgetown,2,3,0,0,0,WILLIAMSON,48491,30503301,697191.0
225036,2014-11-26,California,San Francisco,0,6,0,0,0,SAN FRANCISCO,06075,38965193,808988.0
224362,2014-11-23,Virginia,Parksley,0,4,0,0,0,ACCOMACK,51001,8715698,33239.0
