Incident ID,Incident Date,State,City Or County,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,County,FIPS,Population_per_state_2023,Population_per_county_2023
3034978,2024-09-27,Wyoming,Rock Springs,Rock Springs High School,0,0,0,0,0,SWEETWATER,56037,584057,41249.0
3034650,2024-09-26,New York,Brooklyn,Metropolitan Diploma Plus High School,0,0,0,0,2,KINGS,36047,19571216,2561225.0
3034963,2024-09-26,Idaho,Pocatello,Highland High School,0,0,0,0,0,BANNOCK,16005,1964726,90400.0
3034653,2024-09-25,Georgia,Newnan,Newnan High School,0,0,0,0,1,COWETA,13077,11029227,155892.0
3033809,2024-09-25,Washington,Kennewick,Kamiakin High School,0,0,0,0,0,BENTON,53005,7812880,215219.0
3034542,2024-09-25,Louisiana,Loranger,Loranger High School,0,0,0,0,1,TANGIPAHOA,22105,4573749,138064.0
3034357,2024-09-25,New York,Brooklyn,I.S. 068 Isaac Bildersee,0,2,0,0,0,KINGS,36047,19571216,2561225.0
3034261,2024-09-25,Pennsylvania,Williamsport,WILLIAMSPORT AREA HIGH SCHOOL,0,0,0,0,1,LYCOMING,42081,12961683,112724.0
3034905,2024-09-25,Tennessee,Maryville,Mary Blount Elementary School,0,0,0,0,1,BLOUNT,47009,7126489,141456.0
3034921,2024-09-25,Tennessee,Memphis,Hamilton High School,0,0,0,0,1,SHELBY,47157,7126489,910042.0
3033131,2024-09-24,Delaware,New Castle,William Penn High School,0,0,0,0,1,NEW CASTLE,10003,1031890,578592.0
3033272,2024-09-24,North Carolina,Charlotte,Kennedy Middle School,0,0,0,0,1,MECKLENBURG,37119,10835491,1163701.0
3033231,2024-09-24,Illinois,Highland Park,North Shore Academy,0,0,0,0,1,LAKE,17097,12549689,708760.0
3034561,2024-09-24,North Carolina,Warsaw,Warsaw Elementary School,0,0,0,0,0,DUPLIN,37061,10835491,49520.0
3033601,2024-09-24,New York,Brooklyn,South Shore High School,0,1,0,0,0,KINGS,36047,19571216,2561225.0
3034226,2024-09-24,Washington,Camas,Skyridge Middle School,0,0,0,0,0,CLARK,53011,7812880,521150.0
3032410,2024-09-23,Alabama,Albertville,Albertville High School,0,0,0,0,1,MARSHALL,01095,5108468,100756.0
3032279,2024-09-23,Tennessee,Cordova,Chimneyrock Elementary School,0,0,0,0,1,SHELBY,47157,7126489,910042.0
3032019,2024-09-23,Maryland,Hyattsville (Landover Hills),Ellen Ochoa Middle School,0,0,0,0,1,PRINCE GEORGES,24033,6180253,947430.0
3031797,2024-09-23,Kansas,Wichita,Cessna Elementary School,0,1,0,1,1,SEDGWICK,20173,2940546,528469.0
3032802,2024-09-23,Florida,Jacksonville,Englewood High School,0,0,0,0,1,DUVAL,12031,22610726,1030822.0
3031860,2024-09-22,Arizona,Tucson,University of Arizona,1,0,0,0,1,PIMA,04019,7431344,1063162.0
3032628,2024-09-22,New York,Batavia,Genesee Community College,0,0,0,0,1,GENESEE,36037,19571216,57529.0
3031418,2024-09-21,Texas,Marble Falls,Marble Falls High School,0,1,0,0,0,BURNET,48053,30503301,53991.0
3032165,2024-09-21,South Dakota,Sioux Falls,Lincoln High School,0,0,0,0,1,MINNEHAHA,46099,919318,206930.0
3030406,2024-09-20,Oregon,Gresham,Gresham High School,0,0,0,0,1,MULTNOMAH,41051,4233358,789698.0
3032954,2024-09-20,New Mexico,Albuquerque,ACE Leadership High School,0,0,0,0,2,BERNALILLO,35001,2114371,671586.0
