Year,Area,Party,Candidate votes,Total votes,Vote share
2014,Alabama,Democrat,795696,2074338,0.3835903309875247
2015,Alabama,Democrat,795696,2074338,0.3835903309875247
2016,Alabama,Democrat,795696,2074338,0.3835903309875247
2014,Alabama,Other,22717,2074338,0.010951445714247148
2015,Alabama,Other,22717,2074338,0.010951445714247148
2016,Alabama,Other,22717,2074338,0.010951445714247148
2014,Alabama,Republican,1255925,2074338,0.6054582232982282
2015,Alabama,Republican,1255925,2074338,0.6054582232982282
2016,Alabama,Republican,1255925,2074338,0.6054582232982282
2014,Alaska,Democrat,122640,300495,0.40812659112464433
2015,Alaska,Democrat,122640,300495,0.40812659112464433
2016,Alaska,Democrat,122640,300495,0.40812659112464433
2014,Alaska,Other,13179,300495,0.04385763490241102
2015,Alaska,Other,13179,300495,0.04385763490241102
2016,Alaska,Other,13179,300495,0.04385763490241102
2014,Alaska,Republican,164676,300495,0.5480157739729447
2015,Alaska,Republican,164676,300495,0.5480157739729447
2016,Alaska,Republican,164676,300495,0.5480157739729447
2014,Arizona,Democrat,1025232,2299254,0.44589766941799386
2015,Arizona,Democrat,1025232,2299254,0.44589766941799386
2016,Arizona,Democrat,1025232,2299254,0.44589766941799386
2014,Arizona,Other,40368,2299254,0.017556998922259134
2015,Arizona,Other,40368,2299254,0.017556998922259134
2016,Arizona,Other,40368,2299254,0.017556998922259134
2014,Arizona,Republican,1233654,2299254,0.536545331659747
2015,Arizona,Republican,1233654,2299254,0.536545331659747
2016,Arizona,Republican,1233654,2299254,0.536545331659747
2014,Arkansas,Democrat,394409,1069468,0.36878990301720105
2015,Arkansas,Democrat,394409,1069468,0.36878990301720105
2016,Arkansas,Democrat,394409,1069468,0.36878990301720105
2014,Arkansas,Other,27315,1069468,0.02554073614170784
2015,Arkansas,Other,27315,1069468,0.02554073614170784
2016,Arkansas,Other,27315,1069468,0.02554073614170784
2014,Arkansas,Republican,647744,1069468,0.6056693608410911
2015,Arkansas,Republican,647744,1069468,0.6056693608410911
2016,Arkansas,Republican,647744,1069468,0.6056693608410911
2014,California,Democrat,7854285,13038547,0.6023895914168964
2015,California,Democrat,7854285,13038547,0.6023895914168964
2016,California,Democrat,7854285,13038547,0.6023895914168964
2014,California,Other,344304,13038547,0.026406623376055628
2015,California,Other,344304,13038547,0.026406623376055628
2016,California,Other,344304,13038547,0.026406623376055628
2014,California,Republican,4839958,13038547,0.371203785207048
2015,California,Republican,4839958,13038547,0.371203785207048
2016,California,Republican,4839958,13038547,0.371203785207048
2014,Colorado,Democrat,1323101,2569516,0.5149222655161517
2015,Colorado,Democrat,1323101,2569516,0.5149222655161517
2016,Colorado,Democrat,1323101,2569516,0.5149222655161517
2014,Colorado,Other,61172,2569516,0.023806818093368556
2015,Colorado,Other,61172,2569516,0.023806818093368556
2016,Colorado,Other,61172,2569516,0.023806818093368556
2014,Colorado,Republican,1185243,2569516,0.4612709163904798
2015,Colorado,Republican,1185243,2569516,0.4612709163904798
2016,Colorado,Republican,1185243,2569516,0.4612709163904798
2014,Connecticut,Democrat,905083,1558204,0.5808501325885442
2015,Connecticut,Democrat,905083,1558204,0.5808501325885442
2016,Connecticut,Democrat,905083,1558204,0.5808501325885442
2014,Connecticut,Other,18229,1558204,0.011698724942305372
2015,Connecticut,Other,18229,1558204,0.011698724942305372
2016,Connecticut,Other,18229,1558204,0.011698724942305372
2014,Connecticut,Republican,634892,1558204,0.4074511424691504
2015,Connecticut,Republican,634892,1558204,0.4074511424691504
2016,Connecticut,Republican,634892,1558204,0.4074511424691504
2014,Delaware,Democrat,242584,413890,0.5861074198458528
2015,Delaware,Democrat,242584,413890,0.5861074198458528
2016,Delaware,Democrat,242584,413890,0.5861074198458528
2014,Delaware,Other,5822,413890,0.014066539418686125
2015,Delaware,Other,5822,413890,0.014066539418686125
2016,Delaware,Other,5822,413890,0.014066539418686125
2014,Delaware,Republican,165484,413890,0.39982604073546113
2015,Delaware,Republican,165484,413890,0.39982604073546113
2016,Delaware,Republican,165484,413890,0.39982604073546113
2014,District of Columbia,Democrat,267070,293764,0.9091311392818725
2015,District of Columbia,Democrat,267070,293764,0.9091311392818725
2016,District of Columbia,Democrat,267070,293764,0.9091311392818725
2014,District of Columbia,Other,5313,293764,0.01808594654212225
2015,District of Columbia,Other,5313,293764,0.01808594654212225
2016,District of Columbia,Other,5313,293764,0.01808594654212225
2014,District of Columbia,Republican,21381,293764,0.07278291417600523
2015,District of Columbia,Republican,21381,293764,0.07278291417600523
2016,District of Columbia,Republican,21381,293764,0.07278291417600523
2014,Florida,Democrat,4237756,8474179,0.5000786506869869
2015,Florida,Democrat,4237756,8474179,0.5000786506869869
2016,Florida,Democrat,4237756,8474179,0.5000786506869869
2014,Florida,Other,72976,8474179,0.008611571693257837
2015,Florida,Other,72976,8474179,0.008611571693257837
2016,Florida,Other,72976,8474179,0.008611571693257837
2014,Florida,Republican,4163447,8474179,0.49130977761975525
2015,Florida,Republican,4163447,8474179,0.49130977761975525
2016,Florida,Republican,4163447,8474179,0.49130977761975525
2014,Georgia,Democrat,1773827,3897839,0.45507959666882086
2015,Georgia,Democrat,1773827,3897839,0.45507959666882086
2016,Georgia,Democrat,1773827,3897839,0.45507959666882086
2014,Georgia,Other,45324,3897839,0.011627981555933942
2015,Georgia,Other,45324,3897839,0.011627981555933942
2016,Georgia,Other,45324,3897839,0.011627981555933942
2014,Georgia,Republican,2078688,3897839,0.5332924217752452
2015,Georgia,Republican,2078688,3897839,0.5332924217752452
2016,Georgia,Republican,2078688,3897839,0.5332924217752452
2014,Hawaii,Democrat,306658,437159,0.7014793244563191
2015,Hawaii,Democrat,306658,437159,0.7014793244563191
2016,Hawaii,Democrat,306658,437159,0.7014793244563191
2014,Hawaii,Other,9486,437159,0.02169919868972159
2015,Hawaii,Other,9486,437159,0.02169919868972159
2016,Hawaii,Other,9486,437159,0.02169919868972159
2014,Hawaii,Republican,121015,437159,0.2768214768539593
2015,Hawaii,Republican,121015,437159,0.2768214768539593
2016,Hawaii,Republican,121015,437159,0.2768214768539593
2014,Idaho,Democrat,212787,652274,0.3262233355920978
2015,Idaho,Democrat,212787,652274,0.3262233355920978
2016,Idaho,Democrat,212787,652274,0.3262233355920978
2014,Idaho,Other,18576,652274,0.028478829448973897
2015,Idaho,Other,18576,652274,0.028478829448973897
2016,Idaho,Other,18576,652274,0.028478829448973897
2014,Idaho,Republican,420911,652274,0.6452978349589283
2015,Idaho,Republican,420911,652274,0.6452978349589283
2016,Idaho,Republican,420911,652274,0.6452978349589283
2014,Illinois,Democrat,3019512,5242014,0.5760213536247709
2015,Illinois,Democrat,3019512,5242014,0.5760213536247709
2016,Illinois,Democrat,3019512,5242014,0.5760213536247709
2014,Illinois,Other,87286,5242014,0.016651233667060027
2015,Illinois,Other,87286,5242014,0.016651233667060027
